id,PositionTitle,Designation,Agency,Locations,VacancyType,Vacancy6MonthsOrLess,EmploymentCategory,NumberOfVacancies,NumberOfVacancies Several ,NumberOfApplicants,NumberOfSuccessfulApplicants
161973,Work Health and Safety Advisor – South ,TGEN BAND 3 ADMIN CORPORATE SERVICES,Territory Generation,Alice Springs,Ongoing (Permanent) - Full Time,,"Human Resources and Work Health Safety, Administration and Business Services",1,,15,1
161980,Site Supervisor Community Work ,TECHNICAL 5,Department of the Attorney-General and Justice,Katherine,Ongoing (Permanent) - Full Time,,"Community Services, Trades, Maintenance and Services",1,,7,1
161996,Information and Communication Technology Contracts and Procurement Officer,ADMINISTRATIVE OFFICER 4,Department of Corporate and Digital Development ,Darwin,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Information and Communication Technology (ICT)",1,,24,0
162019,Recording and Production Manager,ADMINISTRATIVE OFFICER 7,"Department of Territory Families, Housing and Communities",Darwin,Ongoing (Permanent) - Full Time,,Administration and Business Services,1,,3,1
162023,Case Support Worker,ADMINISTRATIVE OFFICER 3,Territory Families,Alice Springs,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Child Protection, Social Work",1,,14,1
162024,Medical Education Registrar,REGISTRAR REG1-REG6,Department of Health,"Darwin, Palmerston",Fixed (Temporary) - Full Time,,Medical,1,,2,0
162058,Veterinary Officer,PROFESSIONAL 3,"Department of Industry, Tourism and Trade",Katherine,Ongoing (Permanent) - Full Time,,"Agriculture, Animal and Horticulture, Professional",1,,2,0
162078,Senior Ranger,TECHNICAL 3 - RDO,"Department of Tourism, Sport and Culture",Watarrka,Ongoing (Permanent) - Full Time,,"Environment, Natural Resources and Conservation, Executive and Senior Management, Tourism and Culture",1,,2,0
162088,Clinical Nurse Specialist - Remote Mental Health,NURSE LEVEL 4 RDO,Department of Health,Maningrida,Ongoing (Permanent) - Full Time,,Nursing and Midwifery,1,,1,1
162110,Manager Capability Development Command,DISTRICT OFFICER FIRE SERVICE,"NT Police, Fire and Emergency Services",Darwin,Fixed (Temporary) - Full Time,,"Police, Fire and Emergency Workers",1,,0,0
162115,Adminstrative Support Officer,ADMINISTRATIVE OFFICER 3,"Department of Territory Families, Housing and Communities",Palmerston,Ongoing (Permanent) - Full Time,,"Accounting and Finance, Administration and Business Services",1,,115,0
162132,Respiratory Physician ,SPECIALIST CLINICIAN,Department of Health,Darwin,Fixed (Temporary) - Full Time,,Medical,1,,6,1
162172,Administrative and Project Support Officer,ADMINISTRATIVE OFFICER 3,Department of the Attorney-General and Justice,Darwin,Fixed (Temporary) - Full Time,,Administration and Business Services,1,,39,1
162174,Senior Statistician,SENIOR PROFESSIONAL OFFICER 1,Department of the Attorney-General and Justice,Darwin,Ongoing (Permanent) - Full Time,,"Professional, Science, Administration and Business Services",1,,12,1
162185,"Director Governance, Information and Reporting","EXECUTIVE OFFICER 1 - EXECUTIVE CONTRACT, SENIOR ADMINISTRATIVE OFFICER 2",Department of the Chief Minister and Cabinet,Darwin,Ongoing (Permanent) - Full Time,,"Executive and Senior Management, Administration and Business Services, Communication, Media and Public Relations, Information and Records Management, Legal",1,,33,1
162188,Executive Assistant,ADMINISTRATIVE OFFICER 3,Department of the Attorney-General and Justice,Darwin,Ongoing (Permanent) - Full Time,,Administration and Business Services,1,,40,1
162204,Rural Medical Practitioner Logistics Coordinator,ADMINISTRATIVE OFFICER 6,Department of Health,Alice Springs,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Medical",1,,9,1
162211,Aboriginal Education Officer,ADMINISTRATIVE OFFICER 4 92%,Department of Education,Alice Springs,Fixed (Temporary) - Full Time,,Education and Training,1,,9,1
162216,Senior Systems Engineer,ADMINISTRATIVE OFFICER 7,"NT Police, Fire and Emergency Services",Darwin,Ongoing (Permanent) - Full Time,,"Information and Communication Technology (ICT), Administration and Business Services",2,,18,2
162218,Rural Medical Practitioner,"RURAL MEDICAL PRACTITIONER RL3.1-RL3.5, SNR RURAL MEDICAL PRACTITIONER RL4.1-4.4",Department of Health,Wadeye-Port Keats,Fixed (Temporary) - Full Time,,Medical,1,,2,0
162229,Rural Medical Practitioner,"RURAL MEDICAL PRACTITIONER RL3.1-RL3.5, SNR RURAL MEDICAL PRACTITIONER RL4.1-4.4",Department of Health,Borroloola,Fixed (Temporary) - Full Time,,Medical,1,,1,0
162230,Clinical Nurse Specialist - Healthy Skin,NURSE LEVEL 4 RDO,Department of Health,Katherine,Fixed (Temporary) - Full Time,,"Nursing and Midwifery, Administration and Business Services",1,,2,1
162239,Supervising Summary Prosecutor,SENIOR PROFESSIONAL OFFICER 1,Department of the Attorney-General and Justice,Darwin,Ongoing (Permanent) - Full Time,,"Legal, Professional, Administration and Business Services",1,,5,0
162272,Information and Communication Technology Support Officer,ADMINISTRATIVE OFFICER 4 96%,Department of Education,Yuendumu,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Education and Training",1,,7,1
162273,Administrative Officer,ADMINISTRATIVE OFFICER 3 96%,Department of Education,Yuendumu,Fixed (Temporary) - Full Time,,"Administration and Business Services, Education and Training",1,,9,1
162276,Donation Specialist Clinical Nurse Consultant,NURSE LEVEL 5,Department of Health,Alice Springs,Fixed (Temporary) - Part Time,,Nursing and Midwifery,1,,3,1
162278,Donation Specialist Clinical Nurse Consultant,NURSE LEVEL 5,Department of Health,Alice Springs,Fixed (Temporary) - Part Time,,"Nursing and Midwifery, Allied Health and Health Care Services, Medical",1,,2,1
162285,Operator Maintainer Electrical Day Shift,TGEN OPERATOR/MAINTAINER,Territory Generation,Darwin,Fixed (Temporary) - Full Time,YES,"Trades, Maintenance and Services",2,,12,2
162289,Manager Community Engagement,SENIOR ADMINISTRATIVE OFFICER 1,"Department of Territory Families, Housing and Communities",Darwin,Ongoing (Permanent) - Full Time,,"Community Services, Professional, Administration and Business Services, Procurement, Grants and Contract Management, Program and Project Management",1,,20,1
162292,Learning on Country Coordinator,ADMINISTRATIVE OFFICER 6,Department of Education,"Yirrkala, Lake Evella",Fixed (Temporary) - Full Time,,"Education and Training, Administration and Business Services",2,,10,2
162316,Administrative Officer ,ADMINISTRATIVE OFFICER 3,Department of Health,Darwin,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Information and Communication Technology (ICT), Information and Records Management",1,,85,1
162319,Work Health Safety Consultant,ADMINISTRATIVE OFFICER 6,Department of Health,Darwin,Fixed (Temporary) - Full Time,,Human Resources and Work Health Safety,1,,10,2
162335,Mental Health Liaison and Support Officer,ADMINISTRATIVE OFFICER 3,Department of Health,Darwin,Ongoing (Permanent) - Full Time,,Administration and Business Services,1,,46,0
162337,Senior Communications Consultant,ADMINISTRATIVE OFFICER 7,Department of the Chief Minister and Cabinet,Darwin,Ongoing (Permanent) - Full Time,,"Communication, Media and Public Relations, Administration and Business Services",1,,8,1
162341,Teaching and Learning Officer ,SENIOR TEACHER 2,Department of Education,Katherine,Fixed (Temporary) - Full Time,,Education and Training,1,,2,0
162371,Early Childhood Educator,CLASSROOM TEACHER,Department of Education,Canteen Ck-Orwatjlla,Fixed (Temporary) - Full Time,,Education and Training,1,,7,0
162374,Principal Psychologist,SENIOR PROFESSIONAL OFFICER 1,Territory Families,"Alice Springs, Darwin",Ongoing (Permanent) - Full Time,,"Community Services, Social Work, Allied Health and Health Care Services",1,,2,0
162381,Executive Officer,ADMINISTRATIVE OFFICER 6,Department of Health,Katherine,Ongoing (Permanent) - Full Time,,Administration and Business Services,1,,10,1
162382,Manager Collection Management,PROFESSIONAL 3,"Department of Tourism, Sport and Culture",Darwin,Ongoing (Permanent) - Full Time,,"Professional, Administration and Business Services",1,,12,1
162388,Health Policy Guidelines Manager,ADMINISTRATIVE OFFICER 7,Department of Health,Darwin,Fixed (Temporary) - Full Time,,"Administration and Business Services, Information and Communication Technology (ICT), Information and Records Management",1,,8,1
162389,Wellbeing and Behaviour Advisor,SENIOR TEACHER 1,Department of Education,Darwin,Fixed (Temporary) - Full Time,,Education and Training,1,,13,0
162397,Classroom Teacher,CLASSROOM TEACHER,Department of Education,Alice Springs,Fixed (Temporary) - Full Time,,Education and Training,1,,5,0
162408,Senior Clinician,SENIOR PROFESSIONAL OFFICER 1,Department of Health,Darwin,Ongoing (Permanent) - Full Time,,"Professional, Administration and Business Services, Allied Health and Health Care Services",1,,2,0
162410,Clinical Nurse Specialist – Womens Health Nurse,NURSE LEVEL 4 RDO,Department of Health,Darwin,Fixed (Temporary) - Full Time,,"Nursing and Midwifery, Allied Health and Health Care Services, Administration and Business Services",1,,5,1
162416,Administration Officer,ADMINISTRATIVE OFFICER 3,Department of Education,Palmerston,Fixed (Temporary) - Full Time,,"Administration and Business Services, Education and Training",1,,50,0
162417,Shift Supervisor,ADMINISTRATIVE OFFICER 5,Department of Health,Alice Springs,Fixed (Temporary) - Full Time,,Aged and Disability Care,7,,24,7
162420,Physiotherapist ,"PROFESSIONAL 1, PROFESSIONAL 2",Department of Health,"Darwin, Palmerston",Fixed (Temporary) - Full Time,YES,"Allied Health and Health Care Services, Professional",1,,3,2
