Name,Physical Address,Postal Address,Region,URI,Email,Telephone Number,Fax Number,Sector,Is FAFT School,Is Pre School,Is Primary School,Is Middle School,Is Senior School,Principal,NTG Remote Definition
Alyangula Area School,"Cnr Flinders St & Ayawarra Cr, Alyangula, NT","PMB 3, Alyangula, Groote Eylandt, 0885, NT",East Arnhem,http://www.alyangula.nt.edu.au,alyangula.admin@education.nt.gov.au,(08) 8987 6366,(08) 8987 6014,Government,No,Yes,Yes,Yes,Yes,Mel Dougherty,Remote Category 3
Alyangula Pre School,"Cnr Flinders St & Ayawarra Cr, Alyangula, NT",", , , ",East Arnhem,,,(08) 8987 6366,(08) 8987 6014,,No,Yes,No,No,No,,
Alyarrmandumanja Umbakumba School,"N/A, Umbakumba, NT","PO Box 698, Alyangula, 0885, NT",East Arnhem,https://www.alyarrmandumanja.nt.edu.au/,admin.umbakumba@education.nt.gov.au,(08) 8987 6793,(08) 8987 6984,Government,Yes,Yes,Yes,Yes,Yes,Genevieve Wild,Remote Category 3
Amanbidji School,"N/A, Amanbidgi (Kildirk), NT","PMB 16, via Katherine, 0851, NT",Big Rivers,n/a,carolyn.tucker@education.nt.gov.au,(08) 9168 7380,(08) 9168 7359,Government,No,Yes,Yes,Yes,No,Carolyn Tucker,Remote Category 3
Amoonguna School,"N/A, Amoonguna, NT","PO Box  2529,, Alice Springs, 0871, NT",Central,n/a,cherie.gibbens@education.nt.gov.au,(08) 8952 3402,(08) 8952 3402,Government,No,No,Yes,No,No,Cherie Gibbens,Urban
Ampilatwatja School,"N/A, Ampilatwatja (Ammaroo), NT",", PMB 84, Alice Springs, 0872, NT",Barkly,n/a,admin.ampilat@education.nt.gov.au,(08) 8956 9265,(08) 8956 9799,Government,Yes,Yes,Yes,Yes,Yes,Rachael Byles,Remote Category 3
Angurugu Pre School,"N/A, Angurugu, NT",", , , ",East Arnhem,,,(08) 89876255,(08) 8987 6106,,No,No,No,No,No,,
Angurugu School,"N/A, Angurugu, NT","PO Box 40, Alyangula, Groote Eylandt, 0885, NT",East Arnhem,n/a,admin.angurcec@education.nt.gov.au,(08) 8987 6355,(08) 8987 6106,Government,Yes,Yes,Yes,Yes,Yes,Alessa Fremmer,Remote Category 3
Anula Pre School,"73 Yanyula Dr, Anula, NT",", , , ",Darwin,,,(08) 899 77500,,,No,Yes,No,No,No,,
Anula Primary School,"73 Yanyula Dr, Anula, 0812, NT","Yanyula Drive, ANULA, 0812, NT",Darwin,http://www.anulaprimaryschool.com/,anula.admin@education.nt.gov.au,(08) 899 77500,,Government,No,Yes,Yes,No,No,Brian Hyke,Urban
Araluen Christian School,"10 Blain St, Alice Springs, NT","10 Blain Street, Alice Springs, 0870, NT",Central,http://www.acc.nt.edu.au,admin.acc@ntschools.net,(08) 8955 3300,,Christian,No,No,Yes,Yes,No,Rob Pople,
Areyonga School,"wsw of Hermannsburg, 224km from Alice Springs, Areyonga, NT","Areyonga, via Alice Springs, 0872, NT",Central,n/a,toby.brown@education.nt.gov.au,(08) 8956 7303,(08) 8956 7213,Government,No,No,Yes,Yes,No,Toby Brown,Remote Category 2
Arlparra School,", Arlparra Community, Utopia, NT","PMB 18, via ALICE SPRINGS, 0872, NT",Barkly,n/a,stephen.nimmo@education.nt.gov.au,(08) 8956 9178,(08) 8956 9182,Government,Yes,Yes,Yes,Yes,Yes,Stephen Nimmo,Remote Category 3
Australian International Islamic College,"25 Bowerlee Road, Berrimah NT 0828, NT","25 Bowerlee Road, Berrimah, 0828, NT",Darwin,https://aiic.qld.edu.au/darwin-campus/,nt.admin@aiic.nt.edu.au,(08) 7918 2786,n/a,Independent,No,No,Yes,No,No,Andrew Taylor,
Bakewell Pre School,"5 Hutchison Tce, Bakewell, 0832, NT","tba, tba, 0832, ",Top End,,,(08) 899 77400,,,No,Yes,No,No,No,,
Bakewell Primary School,"1 Forrest Parade, Bakewell, 0832, NT","PO Box 1300, PALMERSTON, 0831, NT",Top End,http://www.bakewellprimary.nt.edu.au,admin.bakewell@education.nt.gov.au,(08) 899 77400,,Government,No,Yes,Yes,No,No,Danielle HALL,Urban
Baniyala Garrangali School,"Yilpara Community, Yirrkala, 0880, NT","PO Box 1496, NHULUNBUY, 0881, NT",East Arnhem,n/a,stephanie.valcanis@education.nt.gov.au,(08) 8987 9114,(08) 8987 9417,Government,No,Yes,Yes,Yes,Yes,Stephanie Valcanis,Remote Category 3
Barunga School,"N/A, Barunga  (Bamyili), NT","PMB 117, via Katherine, 0851, NT",Big Rivers,n/a,office.barunga@education.nt.gov.au,(08) 8975 4502,(08) 8975 4616,Government,Yes,Yes,Yes,Yes,Yes,Malcolm Hales,Remote Category 2
Batchelor Area School,"71 Kirra Cres, Batchelor, 0845, NT","c/-, Batchelor Post Office, 0845, NT",Top End,https://www.batchelorschool.com.au/,batchelor.as@education.nt.gov.au,(08) 8976 0077,(08) 8976 0008,Government,No,Yes,Yes,Yes,No,Sarah Filosi,Remote Special Category
Batchelor Pre School,"71 Kirra Cres, Batchelor, NT",", , , ",Top End,,,(08) 8976 0077,(08) 8976 0008,,No,Yes,No,No,No,,
Bees Creek Pre School,"20 Sattler Cres, Freds Pass, NT",", , , ",Top End,,,(08) 8983 3222,(08) 8983 3120,,No,Yes,No,No,No,,
Bees Creek Primary School,"20 Sattler Cres, Freds Pass, NT","PO Box 1500, Coolalinga, 0839, NT",Top End,http://beescreekschool.com/,bees.creek@education.nt.gov.au,(08) 8983 3222,(08) 8983 3120,Government,No,Yes,Yes,No,No,Emma Hansen,Urban
Belyuen School,"N/A, Belyuen, NT","PMB 2, GPO Darwin, 0801, NT",Top End,n/a,natasha.koroi@education.nt.gov.au,(08) 8978 5085,(08) 8978 5063,Government,Yes,Yes,Yes,No,No,Natasha Koroi,Remote Category 2
Berry Springs Pre School,"1150 Cox Peninsula Rd, Berry Springs, NT",", , , ",Top End,,,(08) 7923 0366,(08) 8988 6151,,No,Yes,No,No,No,,
Berry Springs Primary School,"1150 Cox Peninsula Rd, Berry Springs, 0838, NT","PO Box 135, Berry Springs, 0838, NT",Top End,http://berryspringsprimary.nt.edu.au/,berrysprings.primary@education.nt.gov.au,(08) 7923 0366,n/a,Government,No,Yes,Yes,No,No,Carlie Mamo,Urban
Bonya School,"Community ID 26, Orrtipa-Thurra (Bonya), NT","PMB 69, via Alice Springs, 0872, NT",Central,n/a,juliet.mokoto@education.nt.gov.au,(08) 8956 6352,(08) 8956 6304,Government,No,Yes,Yes,Yes,No,Juliet Mokoto,Remote Category 3
Borroloola Pre School,"321 Robinson Road, Borroloola, NT",", , , ",Big Rivers,,,(08) 89 758780,(08) 89758819,,No,No,No,No,No,,
Borroloola School,"321 Robinson Rd, Borroloola, 0854, NT","PMB 5, Borroloola, 0854, NT",Big Rivers,https://www.borroloolaschool.nt.edu.au/,admin.borrosch@education.nt.gov.au,(08) 896 51800,N/A,Government,Yes,Yes,Yes,Yes,Yes,Stephanie Blitner,Remote Category 3
Bradshaw Pre School,"23 Adamson Ave, Alice Springs, NT",", , , ",Central,,,(08) 895 52100,,,No,Yes,No,No,No,,
Bradshaw Primary School,"23 Adamson Ave, Alice Springs, 0870, NT","PO Box 1744, ALICE SPRINGS, 0871, NT",Central,https://www.bradshawprimary.nt.edu.au/,bradshaw.school@education.nt.gov.au,(08) 895 52100,,Government,No,Yes,Yes,No,No,Tim O'Sullivan,Urban
Braitling Pre School,"80 Head St, Alice Springs, NT",", , , ",Central,,,(08) 8985 8511,,,No,Yes,No,No,No,,
Braitling Primary School,"80 Head St, Alice Springs, 0870, NT","PO Box  1669, ALICE SPRINGS, 0871, NT",Central,http://www.braitlingprimary.nt.edu.au,admin.braitsch@education.nt.gov.au,(08) 895 85111,,Government,Yes,Yes,Yes,No,No,Donna Wright,Urban
Bulla Camp School,"N/A, Bulla, NT","PMB 89, Katherine, 0851, NT",Big Rivers,n/a,debbie.bailey1@education.nt.gov.au,(08) 9167 8957,(08) 9168 7325,Government,No,Yes,Yes,Yes,No,Debbie Bailey,Remote Category 3
Bulman School,"N/A, Bulman, NT","PMB 13, Katherine, 0851, NT",Big Rivers,n/a,adam.cox@education.nt.gov.au,(08) 8975 4707,(08) 8975 4743,Government,No,Yes,Yes,Yes,Yes,Adam Cox,Remote Category 3
Callistemon House,"80 Callistemon Dr, Katherine East, 0850, NT","PO Box 1971, Katherine East, 0851, NT",Big Rivers,https://callistemonhouse.nt.edu.au/,admin.callistemon@education.nt.gov.au,(08) 8972 3212,8972 3233,Government,No,No,No,No,No,Jayme Kot,Urban
Canteen Creek School,"N/a, Canteen Creek, NT","PMB 105, via Alice Springs, 0872, NT",Barkly,n/a,admin.cantesch@education.nt.gov.au,(08) 8964 1505,(08) 8964 1505,Government,Yes,Yes,Yes,Yes,Yes,Natalie Law,Remote Category 3
Casuarina Senior College,"61 Parer Dr, Moil, 0810, NT","PO Box  40196, CASUARINA, 0811, NT",Darwin,http://www.casuarinaseniorcollege.com.au/,csc.admin@education.nt.gov.au,(08) 898 37300,(08) 8928 0020,Government,No,No,No,No,Yes,Glenn Dixon,Urban
Casuarina Street Pre School,"Casuarina St, Katherine East, NT",", , , ",Big Rivers,,,(08) 897 33800,(08) 8972 3791,,No,Yes,No,No,No,,
Casuarina Street Primary School,"Casuarina St, Katherine East, 0850, NT","PO Box 1046, KATHERINE, 0851, NT",Big Rivers,https://casuarinastreet.com.au/,casuarina.admin@education.nt.gov.au,(08) 897 33800,n/a,Government,No,Yes,Yes,No,No,Nicolle Gadd,Urban
Centralian Middle School,"56 Milner Rd, Alice Springs, 0870, NT","PO Box 1771, ALICE SPRINGS, 0871, NT",Central,http://cms.nt.edu.au,centralian.middle@education.nt.gov.au,(08) 895 52333,(08) 8952 6614,Government,No,No,No,Yes,No,Glenda McCarthy,Urban
Centralian Senior College,"10 Grevillea Drive, Alice Springs, 0870, NT","PO Box 4856, ALICE SPRINGS, 0871, NT",Central,HTTP://centralianseniorcollege.com.au,admin.centraliansc@education.nt.gov.au,(08) 895 85000,08 8952 1256,Government,No,No,No,No,Yes,Joanne Alford,Urban
Clyde Fenton Pre School,"101 Giles St, Katherine, NT",", , , ",Big Rivers,,,(08) 897 33855,,,No,Yes,No,No,No,,
Clyde Fenton Primary School,"101 Giles St, Katherine, 0850, NT","PO Box 421, KATHERINE, 0851, NT",Big Rivers,https://cfs.nt.edu.au/,admin.clydesch@education.nt.gov.au,(08) 897 33844,,Government,No,Yes,Yes,No,No,Lynnelle Rankine,Urban
Darwin High School,"10 Atkins Dr, The Gardens, 0820, NT","Bullocky Point, DARWIN, 0820, NT",Darwin,http://www.darwinhigh.nt.edu.au,darwin.high@education.nt.gov.au,(08) 899 91222,(08) 8981 2137,Government,No,No,No,No,Yes,Jill Hazeldine,Urban
Darwin Languages Centre,"1 Nemarluk Dr, Ludmilla, NT, NT","P O Box 822, Nightcliff, 0814, NT",Darwin,https://www.darwinlanguagescentre.nt.edu.au/,dlc.nt@education.nt.gov.au,(08) 899 77000,,Government,No,No,No,No,No,Salima Spring,Urban
Darwin Middle School,"Atkins Drive, The Gardens, NT 0820, not available, NT","PO Box 2257, PARAP, 0804, NT",Darwin,http://www.darwinmiddle.nt.edu.au,admin.darwinmiddle@education.nt.gov.au,(08) 894 25200,08 89425211,Government,No,No,No,Yes,No,Ben McCasker,Urban
Dhupuma Barker,"Gunyangara East Arnhem Land, , NT","PO Box 39, Nhulunbuy, 0881, NT",East Arnhem,https://www.barker.college/about-barker/indigenous-education/dhupuma-barker/,pheath@barker.nsw.edu.au,(08) 8438 7201,n/a,Independent,No,Yes,Yes,No,No,Phillip Heath,
Douglas Daly School,"Jungawa Rd, Douglas-Daly, NT","PMB 46, via Winnellie, 0822, NT",Top End,http://www.douglasdalyschool.nt.edu.au/,rosemary.sullivan@education.nt.gov.au,(08) 8978 2836,(08) 8978 2512,Government,No,Yes,Yes,No,No,Rosemary Sullivan,Remote Category 2
Dripstone Middle School,"10 Delamere St, Tiwi, 0810, NT","PO Box  41370, CASUARINA, 0811, NT",Darwin,http://www.dripstonemiddle.nt.edu.au,dripstone.middle@education.nt.gov.au,(08) 898 37777,,Government,No,No,No,Yes,No,Nektaria Pikoulos,Urban
Driver Pre School,"37 Driver Ave, Driver, NT",", , , ",Top End,,,(08) 893 59055,,,No,Yes,No,No,No,,
Driver Primary School,"37 Driver Ave, Driver, 0830, NT","PO Box  33, PALMERSTON, 0831, NT",Top End,http://www.driverprimary.nt.edu.au,admin.drivesch@education.nt.gov.au,(08) 893 59000,,Government,No,Yes,Yes,No,No,Warwick Peter-Budge,Urban
Dundee Beach School,"500 Namarada Dr, Dundee Beach, NT","PO Box 145, Dundee Beach, 0840, NT",Top End,n/a,dundee.school@education.nt.gov.au,(08) 8978 2212,,Government,No,Yes,Yes,No,No,Leon Syme,Remote Category 2
Durack Pre School,"50 Woodlake Blvd, Durack, NT",", , , ",Top End,,,(08) 899 77555,,,No,Yes,No,No,No,,
Durack Primary School,"50 Woodlake Bvd, Durack, 0830, NT","PO Box  225, PALMERSTON, 0830, NT",Top End,http://www.durackschool.nt.edu.au,durack.school@education.nt.gov.au,(08) 899 77555,,Government,No,Yes,Yes,No,No,Cindy McLaren,Urban
Elliott School,"91 Bray St, Elliott, NT","C/- Elliott Post Office, Elliott, 0862, NT",Barkly,n/a,kevin.gaskin@education.nt.gov.au,(08) 8969 2122,(08) 8969 2053,Government,Yes,Yes,Yes,Yes,No,Kevin Gaskin,Remote Category 1
Epenarra School,"N/A, Wutunugurra (Epenarra), NT","PMB 270, via Alice Springs, 0861, NT",Barkly,n/a,jennifer.cadzow@education.nt.gov.au,(08) 8964 1512,(08) 8964 1689,Government,Yes,Yes,Yes,Yes,Yes,Jennifer Cadzow,Remote Category 3
Family as First Teachers,"Mitchell St, Darwin, 0800, NT","GPO Box 4821, Darwin, 0801, NT",Darwin,n/a,faft.doe@education.nt.gov.au,(08) 899 93550,8999 5677,Government,No,Yes,Yes,No,No,,n/a
Finke School,"N/A, Finke, NT","PMB 30, via Alice Springs, 0871, NT",Central,n/a,finke.school@education.nt.gov.au,(08) 8956 0960,(08) 8956 0960,Government,No,No,Yes,Yes,No,Helen Lopinski,Remote Category 3
Forrest Parade School,"120 Flynn Circuit, Bellamack, 0832, NT","120 Flynn Circuit, Bellamack, 0832, NT",Top End,https://forrestparadeschool.nt.edu.au/wp/,admin.forrestps@education.nt.gov.au,(08) 899 77111,,Government,No,No,No,No,No,Annie Keighran,Urban
Gapuwiyak Pre School,"N/A, Gapuwiyak, NT",", , , ",East Arnhem,,,(08) 8987 9122,(08) 8987 9109,,No,No,No,No,No,,
Gapuwiyak School,"N/a, Gapuwiyak, NT","PMB 900, Via Winnellie, 0822, NT",East Arnhem,n/a,christopher.oneill@education.nt.gov.au,(08) 8987 9122,(08) 8987 9109,Government,Yes,Yes,Yes,Yes,Yes,Christopher O'Neill,Remote Category 3
Gawa Christian School,"Gawa, Elcho Island, Gawa, NT","PMB 257, Elcho Island via Winnellie, 0822, NT",Top End,https://gcs.nt.edu.au/,admin.gcs@ntschools.net,8970 5210,8970 5210,Christian,No,No,Yes,Yes,Yes,Rachel Herweynen,
Gillen Pre School,"12 Newland St, Alice Springs, NT",", , , ",Central,,,(08) 8952 2355,(08) 89534804,,No,Yes,No,No,No,,
Gillen Primary School,"55 Milner Rd, Alice Springs, 0870, NT","PO Box 769, ALICE SPRINGS, 0871, NT",Central,http://www.gillenprimary.nt.edu.au/,gillen.school@education.nt.gov.au,(08) 895 52155,-,Government,Yes,Yes,Yes,No,No,Donna O'Brien,Urban
Girraween Pre School,"25 Carruth Rd, Girraween, NT",", , , ",Top End,,,(08) 8983 3300,(08) 8983 4202,,No,Yes,No,No,No,,
Girraween Primary School,"25 Carruth Rd, Girraween, 0835, NT","PO Box 1042, HOWARD SPRINGS, 0835, NT",Top End,http://www.girraweenprimary.nt.edu.au/,admin.girrasch@education.nt.gov.au,(08) 8983 3300,(08) 8983 4202,Government,No,Yes,Yes,No,No,Megan McKenzie,Urban
Good Shepherd - Leanyer Campus,"94 Leanyer Drive, Leanyer, NT","PO Box 1146, Howard Springs, 0831, NT",Darwin,http://www.goodshepherd.nt.edu.au,admin@goodshepherd.nt.edu.au,(08) 8983 0333,,Independent,No,Yes,Yes,No,No,Matthew Qualischefski,n/a
Good Shepherd Lutheran College,"Cnr Whitewood Rd and Kundook Place, Howard Springs, NT","PO Box 1146, Howard Springs, 0831, NT",Top End,http://www.goodshepherd.nt.edu.au,admin@goodshepherd.nt.edu.au,08 8983 0333,(08) 8983 0333,Independent,No,Yes,Yes,Yes,Yes,Matthew Qualischefski,
Good Shepherd Lutheran School,"Cnr Emery Ave and Temple Tce, Palmerston, NT","PO Box 1146, Howard Springs, 0831, NT",Top End,http://www.goodshepherd.nt.edu.au,admin@goodshepherd.nt.edu.au,(08) 8983 0333,(08) 8983 0333,Independent,No,No,Yes,No,No,Matthew Qualischefski,
Gray Pre School,"22 Victoria Dr, Gray, NT",", , , ",Top End,,,(08) 8932 1700,(08) 8932 1007,,No,Yes,No,No,No,,
Gray Primary School,"22 Victoria Drive, Gray, 0830, NT","Victoria Drive, GRAY, 0830, NT",Top End,http://www.grayprimary.nt.edu.au,admin.graysch@education.nt.gov.au,(08) 8932 1700,(08) 8932 1007,Government,Yes,Yes,Yes,No,No,Donna Westaway,Urban
Gunbalanya Pre School,"N/a, Gunbalanya, NT",", , , ",Top End,,,(08) 8979 0181,(08) 8979 0143,,No,No,No,No,No,,
Gunbalanya School,"N/A, Gunbalanya, NT","PMB 66, Gunbalanya, 0822, NT",Top End,http://www.gunbalanyaschool.nt.edu.au/,admin.gunbacec@education.nt.gov.au,(08) 8979 0181,(08) 8979 0143,Government,Yes,Yes,Yes,Yes,Yes,Sue Trimble,Remote Category 3
Haasts Bluff School,"N/A, Haasts Bluff (Ikuntji), 0872, NT","Haasts Bluff, via Alice Springs, 0872, NT",Central,n/a,geoff.gillman@education.nt.gov.au,(08) 8956 8550,(08) 8956 8550,Government,No,Yes,Yes,Yes,No,Geoff Gillman,Remote Category 3
Haileybury Rendall School,"6057 Berrimah Road, Berrimah, NT","PO Box 241, Berrimah, 0828, NT",Darwin,http://www.haileyburyrendall.com.au,andrew.mcgregor@haileybury.com.au,(08) 8922 1611,(08) 8947 792,Independent,No,No,No,Yes,Yes,Andrew McGregor,
Harts Range School,"N/A, Atitjere (Harts Range), NT","PMB 162, via Alice Springs, 0871, NT",Central,n/a,kylie.mckay@education.nt.gov.au,(08) 8956 9771,(08) 8956 9515,Government,Yes,Yes,Yes,Yes,No,Kylie McKay,Remote Category 2
Henbury School,"11 Henbury Avenue, Tiwi, 0810, NT","11 Henbury Avenue, Tiwi, 0810, NT",Darwin,http://www.henburyschool.org.au/,henbury.admin@education.nt.gov.au,(08) 899 77077,,Government,No,No,No,Yes,Yes,Sarah Corry,Urban
Holy Family Catholic School,"20 Calytrix Road, Karama, NT","PO Box 40870, Casuarina, 0812, NT",Darwin,http://www.holyfamilynt.catholic.edu.au/,admin.holyfamily@nt.catholic.edu.au,(08) 89276188,(08) 8945 2254,Catholic,No,No,Yes,No,No,jennifer Rudyard,
Holy Spirit Catholic School,"278 Gsell Street, Wulagi, NT","PO Box 40030, Casuarina, 0810, NT",Darwin,http://www.holyspiritnt.catholic.edu.au/,admin.holyspirit@nt.catholic.edu.au,(08) 8927 3411,(08) 8927 9971,Catholic,No,No,Yes,No,No,Paula Sellars,
Howard Springs Pre School,"295 Whitewood Rd, Howard Springs, NT",", , , ",Top End,,,(08) 8983 0000,(08) 8983 1834,,No,Yes,No,No,No,,
Howard Springs Primary School,"295 Whitewood Rd, Howard Springs, 0835, NT","PO Box  171, HOWARD SPRINGS, 0835, NT",Top End,http://www.howardspringsprimary.nt.edu.au/,howard.springs@education.nt.gov.au,(08) 898 30000,(08) 8983 1834,Government,No,Yes,Yes,No,No,Narelle Dahl,Urban
Humpty Doo Pre School,"50 Freds Pass Rd, Humpty Doo, NT",", , , ",Top End,,,(08) 792 30400,(08) 8988 1845,,No,Yes,No,No,No,,
Humpty Doo Primary School,"50 Freds Pass Rd, Humpty Doo, 0836, NT","PO Box 46, HUMPTY DOO, 0836, NT",Top End,tba,admin.humptydoo@education.nt.gov.au,(08) 792 30400,,Government,No,Yes,Yes,No,No,Carrie White,Urban
Ida Standley Pre School,"15 Parke Cres, Alice Springs, NT",", , , ",Central,,,(08) 8952 1040,(08) 8952 1040,,No,No,No,No,No,,
Jabiru Area School,"40 Waterhouse Rd, Jabiru, NT","PO Box  246, Jabiru, 0886, NT",Top End,n/a,jabiru.areaschool@education.nt.gov.au,(08) 8938 3333,(08) 89 38 3344,Government,Yes,Yes,Yes,Yes,Yes,Amy Tambling,Remote Special Category
Jabiru Pre School,"40 Waterhouse Rd, Jabiru, NT",", , , ",Top End,,,(08) 8938 3333,(08) 8979 2792,,No,Yes,No,No,No,,
Jilkminggan School,"N/A, Jilkminggan (Duck Creek), NT","PO Box 4054, Mataranka, 0852, NT",Big Rivers,n/a,admin.jilkmsch@education.nt.gov.au,(08) 8975 4896,(08) 8975 4897,Government,Yes,Yes,Yes,Yes,Yes,Callum Brown,Remote Category 2
Jingili Preschool,"10 Jingili Tce, Jingili, NT",", , , ",Darwin,,,(08) 8985 3495,(08) 8948 4129,,No,Yes,No,No,No,,
Jingili Primary School,"17 Rindberg St, Jingili, 0810, NT","PO Box 40600, CASUARINA, 0810, NT",Darwin,http://www.jingiliprimary.nt.edu.au/,jingili.school@education.nt.gov.au,(08) 898 37555,,Government,No,Yes,Yes,No,No,Mark Mangohig,Urban
Kalkaringi Pre School,"Whitlam St, Kalkaringi (Wave hill), NT",", , , ",Big Rivers,,,(08) 8965 1888,,,No,No,No,No,No,,
Kalkaringi School,"Whitlam st, Kalkaringi (Wave hill), NT","PMB 41, KATHERINE, 0852, NT",Big Rivers,,anne.saunders@education.nt.gov.au,(08) 896 51888,,Government,Yes,Yes,Yes,Yes,Yes,Anne Saunders,Remote Category 3
Karama Pre School,"37 Livistona Rd, Karama, NT",", , , ",Darwin,,,(08) 898 37711,,,No,Yes,No,No,No,,
Karama Primary School,"37 Livistona Rd, Karama, 0812, NT","PO Box 103, Karama, 0813, NT",Darwin,https://www.karamaschool.nt.edu.au/,karama.school@education.nt.gov.au,(08) 898 37700,,Government,No,Yes,Yes,No,No,Maria Albion,Urban
Katherine Flexible Learning Centre,"5 Kintore St, Katherine, 0850, NT","PO Box 189, Katherine, 0851, NT",Big Rivers,n/a,tba,(08) 897 38200,n/a,Government,No,No,No,No,No,,Urban
Katherine High School,"Grevillea Rd, Katherine East, 0850, NT","PO Box 189, KATHERINE, 0851, NT",Big Rivers,https://www.katherinehighschool.com.au/,admin.kathehs@education.nt.gov.au,(08) 897 38200,,Government,No,No,No,Yes,Yes,Ruth Miller,Urban
Katherine School Of The Air,"101 Giles St, Katherine, 0850, NT","PO Box 531, KATHERINE, 0851, NT",Big Rivers,https://www.ksa.nt.edu.au/,kath.soa@education.nt.gov.au,(08) 896 51555,,Government,No,Yes,Yes,Yes,No,Donna Bryant,Urban
Katherine South Pre School,"Riverbank Drive, Katherine, NT",", , , ",Big Rivers,,,(08) 8972 1277,(08) 8972 1857,,No,Yes,No,No,No,,
Katherine South Primary School,"Riverbank Dr, Katherine, 0850, NT","PO Box 721, KATHERINE, 0851, NT",Big Rivers,https://www.katherinesouthprimary.nt.edu.au/,admin.kathesch@education.nt.gov.au,(08) 8972 1277,,Government,No,Yes,Yes,No,No,Chris Errington,Urban
Kiana School,"N/A, Kiana, NT","PMB 33, via Tennanat Creek, 0861, NT",Big Rivers,,tba,(08) 8975 9820,(08) 8975 9816,Government,No,Yes,Yes,Yes,No,tba tba,Remote Category 3
Kintore Street Pre School,"11 Kintore St, Katherine, NT",", , , ",Big Rivers,,,(08) 8973 3888,(08) 8971 0462,,No,Yes,No,No,No,,
Kintore Street School,"11 Kintore St, Katherine, 0872, NT","PO Box 1931, KATHERINE, 0851, NT",Big Rivers,n/a,kintore.admin@education.nt.gov.au,(08) 8973 3888,(08) 8971 0462,Government,No,No,Yes,Yes,Yes,Sally Lovering,Urban
Lajamanu Pre School,"N/A, Lajamanu (Hooker Ck), NT",", , , ",Big Rivers,,,(08) 89750 946,(08) 89750948,,No,No,No,No,No,,
Lajamanu School,"N/A, Lajamanu ( Hooker Ck), NT","PMB 63, via Katherine, 0851, NT",Big Rivers,n/a,admin.lajamcec@education.nt.gov.au,(08) 8975 0946,(08) 8975 0948,Government,Yes,Yes,Yes,Yes,Yes,Theo Vanzyl,Remote Category 3
Laramba School,"N/A, Laramba (Napperby), NT","PMB 213, via Alice Springs, 0872, NT",Central,n/a,laramba.school@education.nt.gov.au,(08) 8956 8771,(08) 8956 8779,Government,No,Yes,Yes,Yes,Yes,Michael Ryan,Remote Category 2
Larapinta Pre School,"22 Albrecht Dr, Alice Springs, NT",", , , ",Central,,,(08) 895 85145,,,No,Yes,No,No,No,,
